id,gender,age,location,midpoint_time,phoneme,word,duration,F1,F2,F3,F1_onglide,F2_onglide,F1_offglide,F2_offglide
LNT0,m,32,northmidland,0.105,D,don't,0.09,1676.0802316535903,2728.6498109204063,3975.0387309185785,986.8403801622351,2341.084913472162,908.1660026254388,1941.744356252157
LNT0,m,32,northmidland,0.21000000000000002,OW1,don't,0.12000000000000002,629.5721957353223,1051.3533481961713,1918.1440117700206,633.8624472772286,1440.0790529378528,639.6337865745729,942.8843605789532
LNT0,m,32,northmidland,0.29000000000000004,N,don't,0.03999999999999998,599.0846559526258,1017.2375051613747,2182.664602854383,670.9742338387622,923.6995121203236,1000.1315810674085,1363.4646094317632
LNT0,m,32,northmidland,0.325,T,don't,0.030000000000000027,1052.841064522414,2246.788342929048,3021.2554994513953,1088.3538978234285,1745.2787155965493,1095.1371294620185,2160.9394133403107
LNT0,m,32,northmidland,0.455,AE1,ask,0.15000000000000002,700.1612412706123,1702.3776635419104,2179.919270935528,705.642842078127,1715.0273273954047,669.6135459526923,1538.8753062378485
LNT0,m,32,northmidland,0.575,S,ask,0.08999999999999997,968.7466079771818,1769.5628572668236,2657.1769879043577,728.5150005884716,1537.0787702719385,1454.6678472033116,2319.8929657584713
LNT0,m,32,northmidland,0.6599999999999999,K,ask,0.07999999999999996,1039.490576726746,1818.1570159931125,2761.3211666791876,1216.8437749269049,1620.3320652140083,874.8714092767185,2065.6481348670277
LNT0,m,32,northmidland,0.74,M,me,0.08000000000000007,338.5547631240185,1134.0420240551166,2181.2150381781908,377.93296109268965,1226.4994539540355,346.7662156291092,1075.504790789939
LNT0,m,32,northmidland,0.8200000000000001,IY1,me,0.07999999999999996,428.2727982755641,2317.507431426048,2607.8100986672916,467.96013572017154,2148.7331080229633,366.3982041518695,2296.910713283427
LNT0,m,32,northmidland,0.9099999999999999,T,to,0.09999999999999998,1096.641179611512,1880.3814219227402,2881.7583192290267,756.3797765870866,2066.94920569177,750.0703326221122,2132.673464895789
LNT0,m,32,northmidland,0.985,AH0,to,0.050000000000000044,424.0987586004223,1830.7100430673238,2148.222412440278,457.5076852457869,1807.0956441055023,382.34664214646966,1928.151610085066
LNT0,m,32,northmidland,1.075,K,carry,0.1299999999999999,770.2892765726549,2037.2963250374778,2534.1562865789306,956.2747011793526,2283.002321244354,601.3168080532303,2171.236652685114
LNT0,m,32,northmidland,1.16,EH1,carry,0.040000000000000036,600.0842166293082,1526.458959577277,1889.237440440734,590.2866624398973,1812.5056554193764,599.1312843266735,1753.2188780462445
LNT0,m,32,northmidland,1.245,R,carry,0.13000000000000012,604.2286563565856,1261.9856370899336,1681.9179220424596,608.0917294083118,1349.575960668303,551.455399467335,1231.6736627389823
